Row,Column,Assay,Sample,Conc,Ct,Tm,Efficiency,Flags
20,0,AY24,4A-rep2,-1,21.33,90.74,1.86,
29,18,AY24,4A-rep3,-1,22.4,83.9,1.88,MultipleMeltPeaks
3,36,AY24,5A-rep1,-1,23.61,84.22,1.82,
12,54,AY24,5A-rep2,-1,23.63,84.14,1.83,
21,0,AY24,5A-rep3,-1,23.51,84.29,1.85,MultipleMeltPeaks
30,18,AY24,6A-rep1,-1,21.24,88.33,1.88,MultipleMeltPeaks
36,36,AY24,6A-rep2,-1,21.29,84.01,1.88,
45,54,AY24,6A-rep3,-1,21.49,84.04,1.87,
54,0,AY24,7A-rep1,-1,23.69,84.23,2.07,MultipleMeltPeaks
63,18,AY24,7A-rep2,-1,22.95,84.06,1.86,
37,36,AY24,7A-rep3,-1,23.52,83.65,1.87,MultipleMeltPeaks
46,54,AY24,8A-rep1,-1,21.97,84.02,1.87,
55,0,AY24,8A-rep2,-1,22.23,84.42,1.92,MultipleMeltPeaks
64,18,AY24,8A-rep3,-1,21.9,84.08,1.85,
38,36,AY24,9A-rep1,-1,22.26,83.94,1.85,
47,54,AY24,9A-rep2,-1,22.09,83.98,1.85,
56,0,AY24,9A-rep3,-1,22.21,88.12,1.85,
65,18,AY24,10A-rep1,-1,21.88,84.19,1.86,
39,36,AY24,10A-rep2,-1,21.67,84.01,1.88,
48,54,AY24,10A-rep3,-1,21.49,84.01,1.86,
57,0,AY24,11A-rep1,-1,23.05,84.55,1.74,LowEfficiency
66,18,AY24,11A-rep2,-1,22.46,84.2,1.86,
4,36,AY24,11A-rep3,-1,22.69,84,1.83,MultipleMeltPeaks
13,54,AY24,12A-rep1,-1,21.38,84.03,1.83,
22,0,AY24,12A-rep2,-1,21.69,84.62,1.82,
31,18,AY24,12A-rep3,-1,21.52,84.07,1.89,
5,36,AY24,13A-rep1,-1,22.41,84.27,1.82,
14,54,AY24,13A-rep2,-1,22.42,84.14,1.81,
23,0,AY24,13A-rep3,-1,22.79,84.37,1.77,"LowEfficiency, MultipleMeltPeaks"
32,18,AY24,14A-rep1,-1,21.22,84.1,1.86,
6,36,AY24,14A-rep2,-1,21.17,84.23,1.8,
15,54,AY24,14A-rep3,-1,21.33,84.11,1.82,
24,0,AY24,15A-rep1,-1,,,,CurveFitFailed
33,18,AY24,15A-rep2,-1,21.29,84.03,1.86,
7,36,AY24,15A-rep3,-1,21.19,84.21,1.83,
16,54,AY24,16A-rep1,-1,21.76,84.14,1.82,
25,0,AY24,16A-rep2,-1,21.79,84.68,1.72,LowEfficiency
34,18,AY24,16A-rep3,-1,21.55,84.21,1.84,
40,36,AY24,17A-rep1,-1,21.15,84.03,1.86,
49,54,AY24,17A-rep2,-1,21.01,84.02,1.86,
58,0,AY24,17A-rep3,-1,20.73,84.45,1.79,LowEfficiency
67,18,AY24,18A-rep1,-1,21.23,84.09,1.85,
41,36,AY24,18A-rep2,-1,21.17,84.01,1.86,
50,54,AY24,18A-rep3,-1,20.89,84.07,1.85,
59,0,AY24,19A-rep1,-1,19.93,84.48,1.86,
68,18,AY24,19A-rep2,-1,19.72,84.24,1.9,
42,36,AY24,19A-rep3,-1,19.98,84.04,1.89,
51,54,AY24,20A-rep1,-1,20.5,83.99,1.86,
