"","AY111","AY115","AY125","AY134","AY138","AY152","AY159","AY186","AY188","AY191","AY207","AY211","AY218","AY224","AY226","AY228","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY284","AY29","AY300","AY309","AY331","AY339","AY353","AY365","AY37","AY381","AY386","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY458","AY459","AY46","AY460","AY465","AY466","AY472","AY489","AY490","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY568","AY571","AY572","AY586","AY595"
"U-rep3",NA,NA,NA,NA,8.04,10.14,8.44,13.01,NA,9.66,10.69,14.02,9.11,4.8,8.38,11.41,9.42,8.77,NA,NA,8.65,8.39,7.92,15.45,13.88,6.08,NA,9.72,NA,8.69,8.63,NA,5.78,NA,NA,NA,6.99,8.66,13.05,7.86,8.52,NA,2.63,10.89,NA,NA,14.51,5.01,8.33,NA,9.3,7.21,6.95,8.1,10.84,5.62,8.29,8.3,NA,NA,NA,5.58,NA,10.91,8.1,5,5.5,8.05,4.89
"V-rep1",NA,18.48,14.94,13.64,7.22,10.52,8.18,14.22,14.71,7.6,10.86,11.38,6.3,4.99,8.69,11.65,7.15,7.74,7.59,NA,6.46,8.82,7.55,14.17,NA,5.68,NA,8.38,NA,8.39,7.55,NA,6.38,NA,NA,NA,NA,9.83,12.16,6.56,NA,NA,2.91,10.52,NA,NA,14.18,4.73,8.94,9.13,8.33,7.04,NA,NA,10.73,5.92,8.24,8.57,11.83,NA,NA,5.01,12.51,10.01,8.78,5.3,5.48,8.67,4.89
"V-rep3",NA,NA,15.99,11.48,8.59,10.99,8.91,14.31,14.68,7.65,10.77,10.39,6.17,5.08,9.7,11.46,6.9,NA,7.89,NA,NA,9.01,7.45,16.12,NA,5.38,6.7,8.17,NA,8.51,7.39,NA,6.2,NA,NA,NA,NA,9.74,11.34,7.47,8.69,15.02,2.74,11.07,NA,NA,18.58,4.59,8.96,9.52,8.22,7.1,6.74,8.27,11.75,5.26,8.43,8.66,12.19,NA,NA,4.77,12.55,10.06,8.9,4.93,5.48,8.26,4.84
"W-rep1",NA,21.25,11.58,15.03,9.92,NA,9.17,15.19,13.11,7.77,10.66,10.64,7.62,5.44,10.34,11,8.22,NA,7.91,NA,7.25,9.57,7.48,NA,NA,5.34,6.21,7.79,NA,8.48,7.77,NA,6.22,NA,6.89,NA,6.58,9.81,12.08,8.1,9.99,NA,3.86,11.51,8.77,5.49,NA,5.32,8.94,NA,8.25,7.5,7.8,8.39,NA,6.83,8.24,7.94,NA,NA,17.28,5.22,NA,10.39,8.22,5.9,6.29,9.26,5.54
"W-rep2",NA,NA,14.83,NA,6.82,13.13,9.99,16.09,NA,8.04,11.44,12,7.63,6.03,10.45,11.55,8,NA,7.82,NA,7.55,8.55,7.37,NA,NA,5.59,NA,8.32,9.77,9.21,7.76,NA,6.26,NA,7.36,NA,NA,9.68,NA,7.79,10.21,12.39,3.63,11.61,8.9,5.67,16.44,5.69,9.35,NA,8.91,7.77,8.16,8.53,NA,6.67,NA,8.39,10.98,NA,17.07,5.29,NA,11.23,7.97,6.22,5.78,9.41,5.5
"W-rep3",NA,14.1,NA,13.41,8.38,12.3,9.11,NA,15.62,7.56,10.46,10.94,7.73,4.02,9.05,11.13,8.29,NA,NA,NA,7.41,8.14,7.35,NA,NA,5.41,6.18,7.99,9.48,8.04,7.57,NA,5.05,NA,NA,NA,6.04,9.09,11.67,6.9,8.74,13.86,3.07,10.75,NA,5.64,16.5,4.93,8.49,NA,NA,NA,7.72,7.3,NA,5.75,8.09,8.25,13.14,NA,NA,5.31,NA,10.02,7.68,5.24,5.11,8.42,5.13
"X-rep1",NA,19.87,16.51,12.46,8.43,9.53,9.24,NA,NA,8.53,10.47,11.49,8.12,5.04,9.29,11.15,8.56,NA,7.03,NA,7.93,8.91,7.46,NA,14.12,5.38,6.38,9.55,NA,9.35,NA,NA,6.38,NA,6.61,NA,7.16,9.2,13.48,7.53,7.81,NA,2.91,11.74,NA,5.35,16.3,5.34,8.6,10.68,8.86,7.29,NA,8.51,11.4,6.22,8.44,8.2,11.64,NA,15.65,6.56,NA,10.8,10.04,5.02,5.82,8.6,5.47
"X-rep2",5.96,19.32,15.03,12.79,8.13,10.69,8.6,14.39,NA,7.98,10.78,12.71,7.82,5.22,9.29,10.93,8.75,NA,7.13,NA,7.41,8.91,7.33,NA,17.69,5.53,6.3,9.18,NA,8.81,NA,NA,6.42,NA,NA,NA,6.79,8.76,12.86,NA,8.38,NA,3.08,NA,NA,5.21,16.92,5.21,8.74,10.62,8.75,7.2,8.02,8.29,12.04,6.18,8.28,9.07,14.14,NA,NA,6.56,NA,11.46,9.91,5.35,5.48,8.75,5.45
"X-rep3",5.65,20.36,NA,13.02,NA,10.9,NA,14.15,NA,8.08,NA,10.51,7.96,NA,8.81,11.05,8.26,NA,NA,NA,7.35,8.46,7.43,NA,NA,5.23,NA,NA,NA,8.63,NA,NA,5.71,NA,5.99,NA,6.4,8.97,13.12,6.66,NA,NA,2.43,9.96,NA,5.13,15.87,4.9,8.34,NA,9.44,7.34,7.34,NA,11.15,5.5,8.43,8.77,NA,NA,18.47,6.52,NA,10.48,11.61,4.86,NA,8.31,4.66
"E-rep1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J-rep2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L-rep1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M-rep1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N-rep2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O-rep1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O-rep3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
