"","AY111","AY115","AY125","AY134","AY138","AY152","AY159","AY186","AY188","AY191","AY207","AY211","AY218","AY224","AY226","AY228","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY284","AY29","AY300","AY309","AY331","AY339","AY353","AY365","AY37","AY381","AY386","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY458","AY459","AY46","AY460","AY465","AY466","AY472","AY489","AY490","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY568","AY571","AY572","AY586","AY595"
"I-rep1",NA,NA,12.71,13.1,6.4,12.26,8.71,13.81,13.79,7.32,10.28,10.8,8.42,NA,NA,11.26,8.61,8.73,8.15,NA,NA,7.96,7.68,15.22,13.16,5.33,NA,9.22,9.84,8.36,NA,NA,4.69,NA,6.24,NA,5.8,9.09,18.56,6.72,8.92,14,2.34,10.65,NA,6.2,17.53,4.94,8.12,NA,8.35,6.43,8.69,6.98,11.24,5.14,7.87,8.55,16.67,NA,NA,8.91,NA,10.26,9.69,4.7,4.64,8,4.36
"I-rep2",NA,17.07,15.28,12.45,7.72,10.03,8.93,14.04,14.66,7.11,11.12,11.23,8.02,NA,8.94,11.02,8.83,8.57,7.92,7.72,7.59,8.22,7.93,16.71,14.12,5.23,NA,9.08,10.14,8.99,NA,NA,5.37,NA,6.65,NA,6.18,9.02,NA,7.32,8.38,NA,2.55,10.57,NA,6.18,17.87,7.19,8.29,NA,8.21,6.49,8.36,7.54,11.21,5.59,7.89,8.6,11.22,NA,NA,8.45,NA,11.02,9.87,4.96,4.87,8.06,4.53
"I-rep3",NA,17.41,NA,13.39,7.7,10.27,8.46,14.05,14.41,7.52,NA,10.78,7.78,NA,7.94,10.65,8.55,8.52,8.38,7.24,7.3,7.99,7.78,14.28,13.73,5.2,NA,9.87,9.62,8.55,NA,NA,5.01,NA,6.68,NA,6.04,8.28,16.99,7.06,8.72,12.76,1.94,10.35,NA,NA,17.59,4.85,8.06,NA,NA,6.48,8.1,7.22,9.87,5.31,7.54,8.7,12.91,NA,NA,8.7,NA,10.61,9.1,4.7,4.66,7.63,4.26
"J-rep1",NA,NA,16.18,13.41,7.64,10.4,7.86,NA,NA,7.07,9.53,10.16,8.05,4.29,NA,10.84,8.47,8.61,8.48,NA,7.58,8.23,7.73,NA,NA,5.29,3.72,8.84,9.46,8.67,8.5,NA,5.3,NA,NA,NA,6.14,8.93,12.66,NA,8.96,NA,2.26,9.97,NA,6,16.29,4.77,NA,9.39,8.21,6.45,8.16,7.39,10.59,5.38,8.1,8.57,14.24,NA,NA,8.02,NA,10.32,9.86,4.92,4.71,8.07,4.36
"J-rep3",NA,17.2,NA,12.94,7.63,10.46,9.46,NA,NA,7.58,11.1,11.01,7.99,4.72,9.2,10.89,8.34,8.37,8.61,NA,7.87,8.38,7.89,NA,NA,5.43,3.89,8.98,10.95,9.53,8.67,NA,5.33,NA,7.2,NA,6.54,9.26,12.99,7.51,8.94,NA,2.48,11.9,NA,NA,NA,5.35,8.59,10.37,NA,6.78,8.7,8.01,11.33,6.04,7.96,8.32,13.06,NA,NA,7.72,NA,11.56,9.67,5.33,5.18,8.09,4.89
"K-rep1",NA,NA,NA,12.79,8.87,10.05,8.79,14.32,NA,8.45,10.61,12.46,8.38,NA,8.4,10.84,9.11,9.13,8.77,7.53,NA,8.51,7.71,15.33,NA,5.78,NA,8.98,NA,8.79,NA,NA,NA,NA,NA,5.26,6.4,8.61,13.76,7.33,8.71,NA,2.35,11,NA,5.68,NA,5.44,NA,10.67,8.68,NA,7.93,7.61,NA,5.78,7.81,8.48,11.63,NA,NA,6.79,NA,10.48,7.76,5.06,5.12,7.85,4.74
"K-rep2",NA,NA,NA,12.97,NA,11.22,7.66,14.39,NA,7.77,10.03,11.19,8.54,NA,8.93,11,9.08,8.62,8.04,NA,8.04,NA,7.67,17.9,16.33,6.17,4.19,9.08,NA,NA,NA,NA,NA,NA,NA,NA,6.63,9.34,20.19,7.34,8.73,15.41,2.79,10.25,NA,NA,NA,5.14,8.95,10.05,8.77,6.89,8.6,7.5,NA,5.85,7.16,8.2,NA,NA,NA,7,NA,10.55,7.93,5.34,4.84,8.16,4.81
"L-rep2",NA,NA,20.98,13.66,9.46,12.03,9.05,13.36,16.02,7.76,11.29,11.38,7.78,5.5,9.37,11.47,8.19,8.04,8.57,7.66,7.94,9.41,7.4,NA,NA,5.69,4.87,8.73,9.09,NA,8.06,NA,6.54,NA,7.26,5.9,6.94,9.49,12.21,7.52,9.1,14.13,2.88,11.28,10.08,5.45,18.81,5.58,8.56,10.42,8.15,7.23,7.54,8.41,11.01,6.04,7.55,7.77,12.94,8.24,NA,6.25,NA,10.52,9.13,5.26,NA,8.19,4.9
"L-rep3",NA,18.08,19.46,13.07,5.9,12.96,8.56,13.9,14.2,7.85,11.27,11.42,7.57,5.31,9.73,10.92,NA,7.87,8.36,8.16,7.89,8.33,7.29,NA,NA,5.51,4.82,8.67,9.65,9.22,8.52,NA,6.18,NA,7.6,6.18,7.1,9.82,16.32,6.65,9.5,12.93,3.25,11.61,9.56,NA,NA,5.38,8.98,10.44,8.48,6.97,8.31,7.83,12.18,6.17,7.46,7.67,NA,8.12,NA,6.28,NA,10.91,8.48,5.62,5.18,8.69,5.44
"M-rep2",NA,18.42,15.07,NA,8.97,11.74,9.09,13.68,13.44,8.39,11.16,9.97,8.08,5.16,9.61,11.46,8.85,8.65,7.34,7.65,NA,9.14,NA,NA,13.62,5.11,NA,9.28,NA,8.98,NA,NA,5.9,NA,7.15,6.51,6.61,9.09,15.28,7.85,8.34,12.56,2.8,11.53,NA,4.97,NA,5.39,8.75,10.67,8.61,7.12,7.27,8.04,NA,5.07,7.61,7.81,NA,NA,NA,9.04,NA,11.14,11.3,4.89,5.64,7.91,4.28
"M-rep3",NA,NA,15.23,14.76,9.86,NA,9.77,16.22,15.2,7.96,11.22,NA,8.44,5.59,9.41,12.21,8.57,NA,7.48,7.79,NA,NA,7.58,18.07,NA,5.01,NA,8.85,9.76,9.48,NA,NA,6.52,NA,7.7,6.44,7.04,9.18,15.55,7.97,9.85,NA,3.57,11.41,NA,NA,NA,5.85,8.91,11.51,9.22,7.46,7.95,8.35,NA,6.24,7.57,7.73,10.21,8.12,NA,8.2,NA,11.22,NA,5.71,6.34,8.79,5.71
"N-rep1",NA,17.49,NA,13.27,7.01,13.03,9.03,15.52,14.53,7.52,11.26,11.84,7.76,5.46,9.89,11.34,8.45,7.74,NA,NA,8.02,8.41,7.21,13.88,NA,5.36,4.51,8.49,NA,9.68,8.95,NA,6.44,NA,NA,NA,NA,9.4,13.48,7.29,9.52,NA,3.53,11.03,NA,5.37,15.57,5.79,9.18,11.04,8.03,7.55,7.48,7.91,NA,NA,7.6,7.9,13.7,NA,NA,5.45,NA,11.06,7.64,5.81,NA,8.64,5.32
"N-rep3",NA,NA,NA,12.58,10.86,NA,10.43,14.31,14.95,7.43,12.18,11.19,7.81,6.13,10,11.84,8.2,7.66,NA,NA,NA,NA,7.33,12.54,NA,5.18,4.4,8.9,NA,9.37,8.54,NA,6.67,NA,NA,NA,NA,8.75,NA,8.18,9.04,NA,3.5,11.61,NA,5.34,NA,5.72,8.91,NA,7.89,7.76,6.68,8.38,12.44,5.62,7.46,7.59,11.3,NA,NA,5.46,NA,10.94,8.96,5.18,NA,8.41,5.05
"P-rep1",6.42,17.02,NA,NA,10.7,NA,9.9,13.63,14.39,8,11.71,11.4,8.12,6.33,10.18,12.33,9.1,8.03,7.37,NA,8.2,9.72,6.86,NA,18.74,5.37,NA,8.1,NA,9.73,8.39,NA,6.74,NA,NA,6.64,NA,9.81,17.59,7.75,NA,14.98,3.56,11.05,8.7,5.19,17.16,5.87,8.93,11.75,9.02,7.35,6.89,8.66,NA,5.85,7.53,7.45,11.9,NA,NA,5.04,NA,11.69,8.05,5.42,NA,7.94,5.11
"P-rep2",6.54,20.48,NA,12.6,11.4,NA,9.37,14.6,11.94,8.02,11.31,11.09,8.86,5.62,9.95,11.01,8.76,7.8,7.32,NA,8,NA,6.92,NA,17.82,5.21,NA,8.78,NA,8.93,8.46,NA,6.12,NA,7.04,6.21,NA,9.66,15.96,8.1,NA,NA,3.18,12.36,8.7,5.24,17.65,NA,8.57,11.21,9.01,7.09,7,8.27,11.87,6.06,7.61,7.18,11.06,NA,NA,5.14,NA,11.67,8.19,5.32,NA,8.04,5.21
"P-rep3",NA,18.27,NA,14.69,7.1,NA,10,NA,16.03,7.89,12.03,13.81,8.59,6.46,11.16,12.89,NA,7.84,7.48,NA,8.07,8.54,6.85,NA,NA,5.42,NA,9.14,NA,9.82,8.79,NA,6.68,NA,7.4,NA,NA,10.14,13.24,8.08,NA,15.36,4.41,NA,9.73,5.16,14.51,6.4,9.72,11.82,8.82,7.22,7.9,8.32,13.21,7.05,7.44,7.72,11.64,NA,NA,5.14,NA,11.27,7.87,6.42,NA,9.16,5.95
"Q-rep2",NA,18.21,NA,12.93,8.31,10.9,9.92,NA,NA,8.28,NA,11.57,8.6,5.19,9.49,11.42,9.22,8.35,NA,7.92,7.93,8.77,7.56,14.8,13.86,5.43,4.91,9.85,NA,9.96,8.84,NA,NA,NA,NA,NA,7.33,9.43,18.16,8.43,8.96,NA,3.56,11.69,NA,5.69,18.24,5.73,9.06,9.99,9.13,7.02,8.53,8.92,11.84,6.22,7.47,7.56,11.03,NA,18.66,4.94,11.14,NA,6.97,6.01,5.85,8.73,5.3
"Q-rep3",NA,16.72,16.6,13.61,8.28,11.15,9.32,13.63,NA,7.95,NA,10.83,8.51,5.33,9.13,12.36,9.32,7.98,8.83,7.48,8.2,8.61,7.48,14.99,NA,5.17,4.94,9.22,NA,9.79,8.55,NA,5.94,NA,7.06,NA,7.2,9.39,19.08,8.37,8.98,NA,3.19,11.65,9.02,NA,16.96,5.74,9.33,9.92,NA,6.81,8.71,8.54,11.51,6.05,7.43,7.47,11.28,NA,14.74,5.09,11,11.74,6.66,5.72,NA,8.44,5.39
